,quarter,applications,in planning,approvals,approved not yet started,starts,in construction,completions,total completed
0,Q2 2024,5057,50000,1472,115000,1879,188000,4561,0
1,Q3 2024,5506,58856,1708,114668,2040,185235,4805,4805
2,Q4 2024,5956,62883,1929,114372,2224,182458,5002,9807
3,Q1 2025,6405,67104,2184,114108,2448,179684,5222,15029
4,Q2 2025,6854,71480,2479,113863,2724,176938,5470,20499
5,Q3 2025,7304,75963,2820,113611,3072,174257,5753,26252
6,Q4 2025,7753,80501,3216,113303,3524,171701,6079,32331
7,Q1 2026,8203,85027,3676,112845,4134,169373,6462,38793
8,Q2 2026,8652,89464,4215,112063,4997,167450,6919,45713
9,Q3 2026,9101,93716,4849,110601,6312,166282,7480,53193
10,Q4 2026,9551,97663,5604,107649,8555,166643,8194,61387
11,Q1 2027,10000,101152,6511,100870,13290,170777,9156,70543
12,Q2 2027,10000,104409,6743,95160,12453,173846,9383,79927
13,Q3 2027,10000,107448,6961,90373,11748,176043,9552,89479
14,Q4 2027,10000,110285,7163,86379,11157,177527,9673,99151
15,Q1 2028,10000,112933,7352,83067,10664,178437,9754,108906
16,Q2 2028,10000,115404,7529,80341,10255,178888,9804,118710
17,Q3 2028,10000,117710,7694,78116,9919,178977,9829,128539
18,Q4 2028,10000,119863,7847,76319,9644,178787,9834,138373
19,Q1 2029,10000,121872,7991,74888,9422,178386,9823,148196
